Q2,Q98,Q99,Q100,Q101,Q107,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q105_1,Q105_2,Q105_3,Q105_4,Q105_5,Q106_1,Q106_2,Q106_3,Q106_4,Q106_5,Q37,Q38,Q39,Q40,Q41,Q42,Q102,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56
892af217-347b-0225-1020-c3300c93ca9d,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,78,37,89,9,28,0,100,55,99,1,3,3,2,5,1,3,4,1,3,2,2,3,2,2,2,2,3,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,1,1,1,1,1,1,2,2,,1,4,1,2,3,35,1,9,3,3,1,,,1,3,1
23c1dcc8-8fbb-d278-04de-596141b9c379,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,63,26,60,19,35,13,14,68,57,1,3,3,3,4,1,3,3,2,4,4,2,4,2,4,4,2,4,4,1,4,1,3,2,3,5,4,3,4,2,3,2,3,2,4,3,4,2,1,2,1,,1,1,1,2,1,41,1,9,5,3,1,,,2,2,1
93a19f59-a371-e359-a5c3-a7a00c598c5a,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,1,91,14,81,52,66,4,4,72,1,4,4,4,1,1,3,2,4,2,1,5,1,4,2,2,5,2,2,3,2,4,2,5,4,2,5,3,1,5,1,5,1,4,2,4,2,4,2,2,2,,1,2,1,2,1,25,1,7,5,2,2,,2,,2,1
c7b96f47-aee6-c008-71f9-ec85f9313d21,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,69,7,100,40,88,8,85,8,100,1,3,3,3,3,1,5,3,3,4,5,1,5,1,5,5,1,4,4,2,1,1,1,1,1,5,4,3,5,1,4,1,4,3,3,3,3,3,2,2,2,,2,,1,2,2,41,1,1,1,4,1,,,1,2,1
dcec095d-9b02-de38-6227-5f24318f78df,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,81,9,29,38,99,37,99,99,40,1,3,1,3,3,1,3,1,2,3,3,3,4,4,4,4,2,5,3,2,4,3,4,4,4,5,5,3,5,2,3,1,2,3,4,3,4,2,1,1,1,,1,4,1,1,1,48,1,1,4,4,1,,,2,1,1
08391ecf-d0b0-2683-5b8c-98b65016e9e5,James Wolfe,Julia O'Neill,Captain of the football team,Head cheerleader,,1,70,46,56,51,52,53,18,11,1,3,2,3,1,1,3,1,3,1,1,5,3,5,3,1,4,2,3,2,3,3,3,4,3,3,5,4,1,5,2,3,1,2,3,3,3,3,1,2,2,,1,2,1,1,1,40,1,5,2,3,2,,2,,2,1
d8cc0b1e-00cd-fb0c-ff56-a1e3c682458b,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,70,0,80,1,90,0,61,50,50,1,3,3,3,3,1,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,,1,1,1,1,2,11,1,4,2,4,1,,,2,3,1
4976773f-d14b-5ada-de67-2c2d8a5ce670,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,4,55,13,44,70,31,76,62,62,1,3,2,3,3,1,3,1,4,3,3,3,3,4,3,3,2,3,3,3,3,3,3,4,4,2,4,4,4,4,2,3,2,4,2,4,2,4,1,2,1,,1,2,1,1,1,45,1,1,6,2,2,,2,,3,1
d33cd20d-c532-014d-020a-8a8b08a27c75,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,51,51,100,9,12,11,11,10,11,1,3,3,3,3,1,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,,1,2,7,2,1,55,1,4,2,3,3,,,,2,1
43ebbe9a-5d9b-81e6-1f56-72be65fb4af7,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,52,57,58,71,45,44,44,73,44,1,4,4,4,4,1,4,4,4,4,3,2,4,3,3,3,3,3,3,2,3,4,3,3,4,2,3,3,4,3,3,2,2,4,3,2,2,2,1,2,2,,1,2,7,1,1,35,1,6,5,3,3,,,,3,1
5bb2e481-aa86-c1bb-238e-c1a127f8cee7,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,8,100,0,81,83,82,71,41,70,1,3,2,3,3,1,3,1,3,2,1,1,3,4,2,1,5,2,2,2,1,3,3,2,2,2,4,3,4,5,3,4,5,4,4,5,4,4,1,2,2,,1,4,7,2,1,50,1,1,2,6,3,,,,4,1
afe4fdb7-5a8e-712b-4e52-0340942ffd45,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,91,30,40,51,60,33,50,18,31,1,3,3,4,2,1,3,3,2,3,4,2,4,2,3,4,2,4,3,4,2,2,2,3,2,4,4,2,5,2,2,2,4,4,2,4,2,3,1,2,2,,1,1,1,2,1,16,1,3,5,2,1,,,2,2,1
ecae058a-c661-f3c7-4f37-85fb8fb27974,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,43,12,23,14,58,4,59,53,4,1,4,3,3,5,1,4,3,4,3,2,3,4,4,3,4,2,4,3,2,3,2,4,3,4,4,4,2,5,3,4,2,3,4,3,2,3,3,1,2,2,,1,4,2,1,1,70,1,9,8,3,2,,2,,1,1
fd979660-6741-db08-aad9-d22acf912201,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,51,18,66,47,65,71,68,54,61,1,3,3,3,3,1,4,3,3,4,4,2,4,1,4,4,2,4,2,4,5,3,5,1,5,4,3,5,4,1,4,1,3,3,3,2,4,2,2,2,2,,2,,7,2,3,24,2,2,3,3,1,,,1,3,1
b9db1a69-a83a-68d0-ba78-c0806e3d7e46,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,76,36,57,16,87,26,68,59,50,1,3,3,2,4,1,4,4,4,5,3,2,3,4,4,3,2,3,3,1,4,1,1,2,3,5,3,2,4,2,3,2,3,2,4,3,4,2,2,,2,,2,,1,2,2,12,1,2,3,6,3,,,,3,1
e6ead1d9-eb3a-5844-e449-e1bd0834025a,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,3,1,2,0,40,1,40,0,0,1,3,1,1,1,1,3,2,1,3,2,5,2,5,2,2,5,2,5,2,5,2,5,2,2,5,2,2,3,3,3,3,3,1,5,1,5,1,2,2,2,,2,,7,2,1,23,1,1,2,6,4,3,,,3,1
47a61311-e1f8-abdc-6438-6494ca758d5e,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,100,0,79,0,96,0,83,46,14,1,3,3,3,3,1,3,3,3,3,4,1,4,1,4,4,1,4,4,1,4,4,4,1,1,4,4,1,5,1,5,1,5,5,5,1,5,1,1,2,2,,1,1,1,2,2,52,1,3,3,6,1,,,1,4,1
60c0b10d-7776-98b1-e539-3e8d3806b626,James Wolfe,Julia O'Neill,Captain of the football team,Head cheerleader,,60,40,48,59,71,51,70,70,49,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,1,2,2,,1,1,7,2,1,43,1,7,5,4,1,,,1,1,1
56e883db-baa7-b8c9-8113-3808e3b96531,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,9,81,9,60,91,40,71,71,10,1,4,5,5,3,1,3,5,5,3,3,5,3,5,1,1,5,1,3,4,1,4,1,4,5,1,4,4,4,4,4,3,1,4,2,2,2,3,1,2,2,,1,2,1,1,1,42,1,9,5,2,2,,1,,3,1
a6170686-a650-a622-cbae-339d4e9e62f8,James Wolfe,Julia O'Neill,Captain of the football team,Head cheerleader,,81,19,59,19,50,51,50,61,51,1,2,1,1,5,1,4,5,4,5,4,2,4,2,4,4,2,4,4,2,4,2,5,2,2,4,3,2,4,2,4,2,3,2,5,3,5,1,1,2,2,,1,1,1,1,1,32,1,4,2,4,1,,,1,2,1
deaa0d2b-f27f-722c-a0a9-e195008755a0,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,100,0,100,0,71,0,81,100,0,1,1,1,1,5,1,3,3,1,3,5,3,5,3,5,5,3,5,5,1,5,1,5,1,1,5,3,1,5,1,5,1,5,5,5,3,5,1,1,2,2,,1,1,6,1,4,29,2,9,5,3,3,,,,1,1
d5276580-f6e0-763a-ec16-a381a97b3bd1,James Wolfe,Julia O'Neill,Captain of the football team,Head cheerleader,,100,1,100,1,100,44,100,100,81,1,2,2,1,5,1,5,5,3,5,5,1,5,1,5,5,1,4,5,1,5,1,1,1,1,5,1,1,5,1,5,1,5,1,5,1,5,1,1,2,2,,1,1,1,2,2,21,1,1,3,6,1,,,1,1,1
61c2bbe4-4391-ff09-3aee-2fc48cd646a2,James Wolfe,Julia O'Neill,Captain of the football team,Head cheerleader,,53,5,5,9,9,9,9,0,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,1,1,1,1,4,16,1,4,5,3,1,,,2,3,1
6a96feb3-9662-cc76-671c-7567375651b9,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,80,9,19,8,54,9,64,65,10,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,2,4,4,2,4,2,2,1,2,2,,1,1,2,2,1,19,1,9,5,4,1,,,2,1,1
61ccdebd-e7aa-777d-6d57-1306253bb8e9,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,36,44,35,50,70,51,71,70,59,1,5,3,3,3,1,5,3,3,3,2,4,3,4,2,3,4,3,2,3,4,3,3,3,4,3,3,2,4,3,4,2,3,4,3,4,3,3,,2,2,,1,4,1,2,1,39,1,8,2,3,2,,2,,3,1
e60acc5e-2375-f446-c7c8-7e692b021832,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,91,3,87,3,91,2,91,72,93,1,2,1,2,4,1,3,4,2,5,4,2,4,2,4,4,2,4,4,1,3,1,5,1,1,4,2,2,5,1,5,1,4,4,5,5,5,5,1,2,1,,1,1,1,2,1,68,1,9,2,4,1,,,1,3,1
bb4ae098-be96-55e5-2c9b-58a075307432,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,3,57,25,45,50,67,55,53,56,1,3,3,3,3,1,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,1,3,1,3,2,3,3,3,1,2,2,,1,2,1,1,1,51,1,2,2,1,2,,1,,2,1
a8f1efe5-678d-195b-3aa4-0e1b551b00ae,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,40,65,31,41,90,43,99,19,74,1,4,3,2,4,1,3,4,3,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,3,3,3,1,1,1,,1,1,1,1,3,10,1,1,3,2,1,,,1,1,1
f623e939-8459-c7e8-6e8f-32f0f3416af7,James Wolfe,Julia O'Neill,Captain of the football team,Head cheerleader,,50,20,20,20,53,9,20,0,19,1,3,3,3,1,1,3,3,1,3,4,3,4,3,4,4,3,4,1,1,5,1,5,1,1,5,1,1,3,3,3,3,1,2,5,1,5,1,1,2,2,,2,,1,1,1,34,1,2,3,1,4,3,,,4,1
daceff88-0aec-24be-8f93-b952e3fc5fcc,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,1,64,1,59,100,53,100,70,100,1,4,3,3,3,1,3,3,3,3,3,3,2,4,2,5,3,5,4,3,3,4,2,4,5,2,5,4,3,3,3,3,3,4,2,4,2,4,1,2,2,,1,4,1,2,1,24,1,9,2,6,2,,2,,2,1
3e734a35-a2c5-d6dd-6c40-8fe711d0777a,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,81,0,86,1,75,24,65,91,56,1,3,2,2,4,1,4,4,2,4,4,2,4,3,4,4,2,4,4,3,4,2,4,3,3,3,4,3,4,1,4,1,3,2,4,3,3,3,1,2,2,,1,1,1,1,1,57,1,6,2,4,1,,,1,3,1
b58acf0d-4e6c-c893-c198-8b2e5ca81139,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,77,1,71,1,78,1,71,50,32,1,2,2,2,3,1,4,3,2,4,3,2,3,2,3,3,2,2,3,1,1,1,1,1,1,1,1,1,4,2,3,2,4,1,1,1,1,1,1,2,1,,1,1,7,1,2,51,1,5,3,4,1,,,1,3,1
