cntry,att_label,att_norm,vote_label,vote_norm,rule,same
AT,SPÖ,spo,SPÖ,spo,exact,TRUE
AT,Grüne,grune,Grüne,grune,exact,TRUE
AT,Grüne,grune,KPÖ,kpo,none,FALSE
AT,ÖVP,ovp,ÖVP,ovp,exact,TRUE
AT,NEOS,neos,NEOS,neos,exact,TRUE
AT,FPÖ,fpo,Grüne,grune,none,FALSE
AT,NEOS,neos,Grüne,grune,none,FALSE
AT,FPÖ,fpo,FPÖ,fpo,exact,TRUE
AT,NEOS,neos,ÖVP,ovp,none,FALSE
AT,FPÖ,fpo,ÖVP,ovp,none,FALSE
AT,Grüne,grune,ÖVP,ovp,none,FALSE
AT,ÖVP,ovp,NEOS,neos,none,FALSE
AT,Grüne,grune,SPÖ,spo,none,FALSE
AT,Grüne,grune,NEOS,neos,none,FALSE
AT,GILT,gilt,ÖVP,ovp,none,FALSE
AT,ÖVP,ovp,FPÖ,fpo,none,FALSE
AT,SPÖ,spo,Grüne,grune,none,FALSE
AT,KPÖ,kpo,Grüne,grune,none,FALSE
AT,GILT,gilt,Grüne,grune,none,FALSE
AT,PILZ,pilz,PILZ,pilz,exact,TRUE
AT,NEOS,neos,FPÖ,fpo,none,FALSE
AT,SPÖ,spo,ÖVP,ovp,none,FALSE
AT,GILT,gilt,KPÖ,kpo,none,FALSE
AT,KPÖ,kpo,KPÖ,kpo,exact,TRUE
AT,ÖVP,ovp,Grüne,grune,none,FALSE
AT,ÖVP,ovp,SPÖ,spo,none,FALSE
AT,GILT,gilt,SPÖ,spo,none,FALSE
AT,SPÖ,spo,NEOS,neos,none,FALSE
AT,KPÖ,kpo,SPÖ,spo,none,FALSE
AT,SPÖ,spo,FPÖ,fpo,none,FALSE
AT,Grüne,grune,PILZ,pilz,none,FALSE
AT,GILT,gilt,GILT,gilt,exact,TRUE
AT,GILT,gilt,PILZ,pilz,none,FALSE
AT,NEOS,neos,SPÖ,spo,none,FALSE
AT,ÖVP,ovp,LIF,lif,none,FALSE
AT,FPÖ,fpo,SPÖ,spo,none,FALSE
AT,LIF,lif,LIF,lif,exact,TRUE
AT,LIF,lif,SPÖ,spo,none,FALSE
AT,LIF,lif,ÖVP,ovp,none,FALSE
AT,Grüne,grune,FPÖ,fpo,none,FALSE
AT,SPÖ,spo,LIF,lif,none,FALSE
AT,LIF,lif,Grüne,grune,none,FALSE
AT,SPÖ,spo,JETZT,jetzt,none,FALSE
AT,Grüne,grune,JETZT,jetzt,none,FALSE
AT,Grüne,grune,LIF,lif,none,FALSE
AT,GRÜNE,grune,GRÜNE,grune,exact,TRUE
AT,BZÖ,bzo,BZÖ,bzo,exact,TRUE
AT,GRÜNE,grune,SPÖ,spo,none,FALSE
AT,BZÖ,bzo,ÖVP,ovp,none,FALSE
AT,SPÖ,spo,KPÖ,kpo,none,FALSE
AT,SPÖ,spo,GRÜNE,grune,none,FALSE
AT,BZÖ,bzo,FPÖ,fpo,none,FALSE
AT,ÖVP,ovp,GRÜNE,grune,none,FALSE
AT,LIF,lif,GRÜNE,grune,none,FALSE
AT,ÖVP,ovp,KPÖ,kpo,none,FALSE
AT,GRÜNE,grune,ÖVP,ovp,none,FALSE
AT,FPÖ,fpo,BZÖ,bzo,none,FALSE
AT,Team Frank Stronach,team frank stronach,Team Frank Stronach,team frank stronach,exact,TRUE
AT,Piratenpartei Österreich,piratenpartei osterreich,Piratenpartei Österreich,piratenpartei osterreich,exact,TRUE
AT,KPÖ,kpo,Piratenpartei Österreich,piratenpartei osterreich,none,FALSE
AT,ÖVP,ovp,BZÖ,bzo,none,FALSE
AT,ÖVP,ovp,Piratenpartei Österreich,piratenpartei osterreich,none,FALSE
AT,Grüne,grune,Piratenpartei Österreich,piratenpartei osterreich,none,FALSE
AT,ÖVP,ovp,Team Frank Stronach,team frank stronach,none,FALSE
AT,FPÖ,fpo,KPÖ,kpo,none,FALSE
AT,Team Frank Stronach,team frank stronach,FPÖ,fpo,none,FALSE
AT,FPÖ,fpo,NEOS,neos,none,FALSE
AT,Grüne,grune,BZÖ,bzo,none,FALSE
AT,Team Frank Stronach,team frank stronach,ÖVP,ovp,none,FALSE
AT,FPÖ,fpo,Team Frank Stronach,team frank stronach,none,FALSE
AT,SPÖ,spo,PILZ,pilz,none,FALSE
AT,PILZ,pilz,ÖVP,ovp,none,FALSE
AT,NEOS,neos,PILZ,pilz,none,FALSE
BE,ECOLO,ecolo,ECOLO,ecolo,exact,TRUE
BE,PS,ps,PS,ps,exact,TRUE
BE,PS,ps,PRL-FDF,prl fdf,none,FALSE
BE,ECOLO,ecolo,PSC,psc,none,FALSE
BE,CDH (PSC),cdh psc,PS,ps,none,FALSE
BE,FRONT NATIONAL,front national,PS,ps,none,FALSE
BE,Mouvement Réformateur (MR),mouvement reformateur mr,PS,ps,none,FALSE
BE,Mouvement Réformateur (MR),mouvement reformateur mr,PRL-FDF,prl fdf,none,TRUE
BE,Mouvement Réformateur (MR),mouvement reformateur mr,ECOLO,ecolo,none,FALSE
BE,CDH (PSC),cdh psc,ECOLO,ecolo,none,FALSE
BE,Mouvement Réformateur (MR),mouvement reformateur mr,PSC,psc,none,FALSE
BE,CDH (PSC),cdh psc,PSC,psc,acronym,TRUE
BE,FRONT NATIONAL,front national,FRONT NATIONAL,front national,exact,TRUE
BE,VIVANT,vivant,VIVANT,vivant,exact,TRUE
BE,PS,ps,ECOLO,ecolo,none,FALSE
BE,PS,ps,FRONT NATIONAL,front national,none,FALSE
BE,CDH (PSC),cdh psc,PRL-FDF,prl fdf,none,FALSE
BE,PS,ps,PSC,psc,none,FALSE
BE,ECOLO,ecolo,PS,ps,none,FALSE
BE,Mouvement Réformateur (MR),mouvement reformateur mr,FRONT NATIONAL,front national,none,FALSE
BE,ECOLO,ecolo,PRL-FDF,prl fdf,none,FALSE
BE,VLD,vld,PRL-FDF,prl fdf,none,FALSE
BE,CDH (PSC),cdh psc,CVP,cvp,none,FALSE
BE,Vlaams Blok,vlaams blok,Vlaams Blok,vlaams blok,exact,TRUE
BE,VLD,vld,VLD,vld,exact,TRUE
BE,Agalev,agalev,SP,sp,none,FALSE
BE,SP.A,sp a,SP,sp,acronym,TRUE
BE,CD&V,cd v,CVP,cvp,none,TRUE
BE,Agalev,agalev,Agalev,agalev,exact,TRUE
BE,VLD,vld,VU-ID,vu id,none,FALSE
BE,Agalev,agalev,PSC,psc,none,FALSE
BE,PVDA,pvda,PVDA-AE,pvda ae,acronym,TRUE
BE,Spirit,spirit,VU-ID,vu id,none,FALSE
BE,SP.A,sp a,VU-ID,vu id,none,FALSE
BE,SP.A,sp a,VLD,vld,none,FALSE
BE,Agalev,agalev,CVP,cvp,none,FALSE
BE,Agalev,agalev,VLD,vld,none,FALSE
BE,CD&V,cd v,VLD,vld,none,FALSE
BE,Vlaams Blok,vlaams blok,VLD,vld,none,FALSE
BE,N-VA,n va,VLD,vld,none,FALSE
BE,CD&V,cd v,Agalev,agalev,none,FALSE
BE,PS,ps,SP,sp,none,FALSE
BE,Vlaams Blok,vlaams blok,CVP,cvp,none,FALSE
BE,VLD,vld,CVP,cvp,none,FALSE
BE,CDH (PSC),cdh psc,Agalev,agalev,none,FALSE
BE,N-VA,n va,VU-ID,vu id,none,FALSE
BE,Spirit,spirit,VLD,vld,none,FALSE
BE,PVDA,pvda,VLD,vld,none,FALSE
BE,CD&V,cd v,VU-ID,vu id,none,FALSE
BE,VLD,vld,Vlaams Blok,vlaams blok,none,FALSE
BE,PVDA,pvda,SP,sp,none,FALSE
BE,VLD,vld,Agalev,agalev,none,FALSE
BE,SP.A,sp a,Agalev,agalev,none,FALSE
BE,Vlaams Blok,vlaams blok,SP,sp,none,FALSE
BE,N-VA,n va,N-VA,n va,exact,TRUE
BE,Open VLD,open vld,Open VLD,open vld,exact,TRUE
BE,Vlaams Belang,vlaams belang,Vlaams Belang,vlaams belang,exact,TRUE
BE,Ecolo,ecolo,Ecolo,ecolo,exact,TRUE
BE,PS,ps,Ecolo,ecolo,none,FALSE
BE,CD&V,cd v,CD&V,cd v,exact,TRUE
BE,PVDA,pvda,PVDA,pvda,exact,TRUE
BE,PTB,ptb,PTB,ptb,exact,TRUE
BE,PVDA,pvda,PTB,ptb,none,FALSE
BE,Groen!,groen,Groen!,groen,exact,TRUE
BE,MR,mr,MR,mr,exact,TRUE
BE,cdH (Les Engagés),cdh les engages,cdH (Les Engagés),cdh les engages,exact,TRUE
BE,DéFI,defi,DéFI,defi,exact,TRUE
BE,PTB,ptb,PS,ps,none,FALSE
BE,CD&V,cd v,N-VA,n va,none,FALSE
BE,Groen!,groen,Ecolo,ecolo,none,FALSE
BE,Ecolo,ecolo,MR,mr,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,Sp.a (Vooruit),sp a vooruit,exact,TRUE
BE,Open VLD,open vld,N-VA,n va,none,FALSE
BE,Vlaams Belang,vlaams belang,N-VA,n va,none,FALSE
BE,PVDA,pvda,Open VLD,open vld,none,FALSE
BE,Vlaams Belang,vlaams belang,Ecolo,ecolo,none,FALSE
BE,PVDA,pvda,Groen!,groen,none,FALSE
BE,Groen!,groen,N-VA,n va,none,FALSE
BE,PS,ps,PVDA,pvda,none,FALSE
BE,cdH (Les Engagés),cdh les engages,MR,mr,none,FALSE
BE,N-VA,n va,CD&V,cd v,none,FALSE
BE,N-VA,n va,Open VLD,open vld,none,FALSE
BE,CD&V,cd v,Vlaams Belang,vlaams belang,none,FALSE
BE,PTB,ptb,MR,mr,none,FALSE
BE,PVDA,pvda,Sp.a (Vooruit),sp a vooruit,none,FALSE
BE,Open VLD,open vld,CD&V,cd v,none,FALSE
BE,Groen!,groen,PVDA,pvda,none,FALSE
BE,N-VA,n va,Vlaams Belang,vlaams belang,none,FALSE
BE,PS,ps,cdH (Les Engagés),cdh les engages,none,FALSE
BE,PVDA,pvda,N-VA,n va,none,FALSE
BE,Open VLD,open vld,Vlaams Belang,vlaams belang,none,FALSE
BE,Groen!,groen,Open VLD,open vld,none,FALSE
BE,N-VA,n va,MR,mr,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,CD&V,cd v,none,FALSE
BE,Ecolo,ecolo,DéFI,defi,none,FALSE
BE,Ecolo,ecolo,Groen!,groen,none,FALSE
BE,Groen!,groen,CD&V,cd v,none,FALSE
BE,Groen!,groen,Sp.a (Vooruit),sp a vooruit,none,FALSE
BE,PTB,ptb,PVDA,pvda,none,FALSE
BE,MR,mr,cdH (Les Engagés),cdh les engages,none,FALSE
BE,Ecolo,ecolo,cdH (Les Engagés),cdh les engages,none,FALSE
BE,MR,mr,PS,ps,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,Open VLD,open vld,none,FALSE
BE,Vlaams Belang,vlaams belang,CD&V,cd v,none,FALSE
BE,cdH (Les Engagés),cdh les engages,Open VLD,open vld,none,FALSE
BE,Vlaams Belang,vlaams belang,Open VLD,open vld,none,FALSE
BE,cdH (Les Engagés),cdh les engages,Ecolo,ecolo,none,FALSE
BE,Vlaams Belang,vlaams belang,MR,mr,none,FALSE
BE,N-VA,n va,Groen!,groen,none,FALSE
