source,study,n_base_close,n_base_probe,n_probed,n_base_strength,n_strength,probe_share,strength_share,item_fielded,probe_available,strength_available
IMD,ALB_2005,1079,431,377,648,587,0.8747099767981439,0.9058641975308642,TRUE,FALSE,TRUE
IMD,ALB_2017,1247,682,680,565,564,0.9970674486803519,0.9982300884955753,TRUE,TRUE,TRUE
IMD,ARG_2015,1396,810,807,586,581,0.9962962962962963,0.9914675767918089,TRUE,TRUE,TRUE
IMD,AUS_1996,1739,287,0,1452,1436,0,0.9889807162534435,TRUE,FALSE,TRUE
IMD,AUS_2004,1719,277,0,1442,1403,0,0.9729542302357836,TRUE,FALSE,TRUE
IMD,AUS_2007,1830,284,275,1546,1467,0.9683098591549296,0.9489003880983182,TRUE,TRUE,TRUE
IMD,AUS_2013,3949,498,0,3451,3393,0,0.9831932773109243,TRUE,FALSE,TRUE
IMD,AUS_2019,1989,1180,1175,809,802,0.9957627118644068,0.9913473423980222,TRUE,TRUE,TRUE
IMD,AUT_2008,1152,580,572,572,558,0.9862068965517241,0.9755244755244755,TRUE,TRUE,TRUE
IMD,AUT_2013,988,626,616,362,325,0.9840255591054313,0.8977900552486188,TRUE,TRUE,FALSE
IMD,AUT_2017,1188,609,605,579,557,0.993431855500821,0.9620034542314335,TRUE,TRUE,TRUE
IMD,BELF1999,1959,100,0,1859,0,0,0,TRUE,FALSE,FALSE
IMD,BELF2019,1012,594,567,418,410,0.9545454545454546,0.9808612440191388,TRUE,TRUE,TRUE
IMD,BELW1999,0,0,0,0,0,NA,NA,FALSE,FALSE,FALSE
IMD,BELW2019,686,380,369,306,305,0.9710526315789474,0.9967320261437909,TRUE,TRUE,TRUE
IMD,BEL_2003,2149,1373,0,776,533,0,0.6868556701030928,TRUE,FALSE,FALSE
IMD,BGR_2001,1482,849,849,633,616,1,0.9731437598736177,TRUE,TRUE,TRUE
IMD,BGR_2014,981,621,605,360,346,0.9742351046698873,0.9611111111111111,TRUE,TRUE,TRUE
IMD,BLR_2001,711,628,575,83,80,0.9156050955414012,0.963855421686747,TRUE,TRUE,TRUE
IMD,BLR_2008,880,768,749,112,98,0.9752604166666666,0.875,TRUE,TRUE,FALSE
IMD,BRA_2002,2466,1249,1200,1217,1083,0.9607686148919136,0.8898931799506984,TRUE,TRUE,FALSE
IMD,BRA_2006,976,650,650,326,320,1,0.9815950920245399,TRUE,TRUE,TRUE
IMD,BRA_2010,1986,1033,1033,953,596,1,0.6253934942287513,TRUE,TRUE,FALSE
IMD,BRA_2014,2924,2127,2087,797,662,0.9811941701927598,0.8306148055207027,TRUE,TRUE,FALSE
IMD,BRA_2018,2485,2088,2078,397,308,0.9952107279693486,0.7758186397984886,TRUE,TRUE,FALSE
IMD,CAN_1997,1840,881,0,959,943,0,0.9833159541188738,TRUE,FALSE,TRUE
IMD,CAN_2004,1622,997,929,625,617,0.9317953861584755,0.9872,TRUE,TRUE,TRUE
IMD,CAN_2008,1922,1150,1148,772,764,0.9982608695652174,0.9896373056994818,TRUE,TRUE,TRUE
