file,variable,construct,era,wording,categories,note
Mannheim,closepty,party attachment,EB4-EB9 (1975-1978),"Do you consider yourself a supporter to any particular political party? If so, do you feel yourself to be very involved in this party, fairly involved or merely a sympathizer?",1 very involved; 2 fairly involved; 3 merely a sympathizer; 4 no affinities with any party; 8 DK/NA; 9 inap,Supporter/involvement wording. Not the same stimulus as the closeness wording that replaces it.
Mannheim,closepty,party attachment,since EB10 (1978-1994),"Do you consider yourself to be close to any particular party? <IF YES> Do you feel yourself to be very close to this party, fairly close or merely a sympathizer?",1 very close; 2 fairly close; 3 merely a sympathizer; 4 close to no particular party; 8 DK/NA; 9 inap,"English versions ask an ABSOLUTE question, French-derived versions a RELATIVE one ('closer to one party than to the others'). Codebook fn. 119."
Mannheim,closepty,party attachment,EB16 (1981),"<Follow-up question after the respondents have been asked to choose a party to which they feel close to> Do you consider yourself to be very close to this party, fairly close or merely a sympathizer?",as since EB10,"Question ORDER break, not a wording break: attachment is asked after the party has already been named."
Mannheim,closepty,party attachment,not asked,--,--,"EB39, EB40, EB41 not asked in Finland; EB42 not asked in Finland, Sweden and Austria (codebook fn. 120)."
Mannheim,feelclo,which party,"ECS73, EB16","Generally speaking, do you feel closer to one of the <national> political parties than the others? If yes, which one?",country-specific party codes,"Note this is the RELATIVE form, in English. In ECS73 it was used in place of vote intention."
Mannheim,feelclo,which party,EB23-EB29,"Generally speaking, which political party do you feel closer to?",country-specific party codes,EB29 asked in Ireland and Northern Ireland only.
Mannheim,feelclo,which party,since EB30,"<To those who say code 1 (very close), 2 (fairly close) or 3 (merely a sympathiser) in CLOSEPTY> To which party do you feel close?",country-specific party codes,"Filtered on closepty, so it identifies the party of attached respondents only."
Mannheim,voteint,vote intention,main wording,"If there were a 'general election' tomorrow (say if contact is under 18 years: and you had a vote), which party would you support?",country-specific party codes; 990 other; 995 blank/spoilt; 996 would not vote; 997 refused; 998 DK; 999 inap,EB41 onward say 'vote for' rather than 'support'. Many country-specific code collapses -- see codebook fn. 125.
Mannheim,inclvote,leaning vote,since EB7,<If DK or NA in VOTEINT> Which party would you be inclined to vote for?,as voteint,"A follow-up on the VOTE item, not on attachment. Asked only in GB/IRL/NIRL for several waves."
Mannheim,lastvote,past vote,since EB30,Which party did you vote for at the last general election in (year of last general election)?,as voteint,"Earlier waves are country-restricted: EB18-27 Belgium only, EB24-29 Spain and Portugal only."
Mannheim,party,party membership,since EB32A,Are you yourself or is someone in your household a member of a political party?,0 not mentioned; 1 mentioned; 8 DK/NA,Only the respondent-is-member category is in the trend file. Substantive answers 1988-1991 only.
Mannheim,lrs,left-right,throughout,In political matters people talk of 'the left' and 'the right'. How would you place your views on this scale?,1 left ... 10 right,Not a partisanship item; carried for context.
Harmonised,party_att_deg,party attachment,EB71.3 (2009),"Do you consider yourself to be close to any particular party? If so, do you feel yourself to be very close to this party, fairly close, or merely a sympathizer?",1 very involved; 2 fairly involved; 3 merely sympathizer; 4 no affinities with any party,"The xlsx gives the CLOSENESS wording but the delivered value labels are the INVOLVEMENT ones, i.e. the EB4-EB9 family. Treat the 2009 point as not strictly comparable to 1978-1994."
Harmonised,lr,left-right,1970-2021,In political matters people talk of 'the left' and 'the right'. How would you place your views on this scale?,1 left ... 10 right,Not a partisanship item; carried for context.
Harmonised,voteprob_nat_sc,vote probability,2002-2004,"Supposing a (national/general election) were being held tomorrow, can you tell me on a scale of 1 to 10 how likely it is that you would vote in that election?",1 definitely not vote ... 10 definitely vote,"Turnout propensity, not party choice."
EB 95.3 (953_new),(none),party attachment,2021,--,--,"No partisanship item. attach_cntry / attach_eur are attachment to COUNTRY and to EUROPE, not to a party. Redundant with the harmonised file."
CEEB,(none),party attachment,1990-1997,--,--,"NO closeness, affinity or attachment item exists anywhere in the CEEB trend file. The construct was never fielded in Central and Eastern Europe under this instrument."
CEEB,V77,franchise,CEEB5-8 (1994-1997),<Ask only those of voting age> Do you have the right to vote in (our country) at General Elections?,1 have right; 2 do not have right; 8 DK; 9 NA,Filter for the vote-intention items.
CEEB,V78,turnout intention,CEEB3-4 (1992-1993),"If there was a 'General Election' today (say if contact under voting age or not allowed to vote 'and you had a vote'), would you go and vote in the next 'General Election'?",1 yes I would vote; 2 no I would not vote; 8 DK; 9 no answer,"Substantive answers in 1991-1993 only, and not for every country."
CEEB,V79-V117,vote intention,CEEB5-7 (1994-1996),"<Ask only those who have right to vote> If there were a general election tomorrow, which party or block would you vote for, or might you be inclined to vote for?",country-specific party codes,"One column PER COUNTRY (V79-V100 intention, V101-V117 inclination); they must be coalesced before use."
CEEB,V118,past vote,CEEB1 (1990),And which party did you vote for on <date of last election>?,country-specific party codes,GDR 1990 (Volkskammerwahl) in the documented wave.
CEEB,V74-V76,left-right,1990-1997,"In political matters, people talk of the 'left' and the 'right'. How would you place your views on this scale?","11-point, 3-point and 10-point versions in separate variables",Not a partisanship item; three incompatible scalings.
