source,country_unit,country_iso3,year,vote_item_type,n_eff,w_total,vote_neg_available,cell,w,n_raw,share
CSES IMD,AUT,AUT,2008,past_vote,1158,1158,TRUE,attached_and_no_vote,58,58,0.05008635578583765
CSES IMD,AUT,AUT,2008,past_vote,1158,1158,TRUE,attached_and_voted,771,771,0.6658031088082902
CSES IMD,AUT,AUT,2008,past_vote,1158,1158,TRUE,dk_attachment_and_no_vote,2,2,0.0017271157167530224
CSES IMD,AUT,AUT,2008,past_vote,1158,1158,TRUE,dk_attachment_and_voted,5,5,0.004317789291882556
CSES IMD,AUT,AUT,2008,past_vote,1158,1158,TRUE,not_asked,6,6,0.0051813471502590676
CSES IMD,AUT,AUT,2008,past_vote,1158,1158,TRUE,not_attached_and_no_vote,98,98,0.0846286701208981
CSES IMD,AUT,AUT,2008,past_vote,1158,1158,TRUE,not_attached_but_voted,218,218,0.18825561312607944
CSES IMD,AUT,AUT,2013,past_vote,999,999,TRUE,attached_and_no_vote,22,22,0.022022022022022022
CSES IMD,AUT,AUT,2013,past_vote,999,999,TRUE,attached_and_voted,585,585,0.5855855855855856
CSES IMD,AUT,AUT,2013,past_vote,999,999,TRUE,dk_attachment_and_no_vote,3,3,0.003003003003003003
CSES IMD,AUT,AUT,2013,past_vote,999,999,TRUE,dk_attachment_and_voted,9,9,0.009009009009009009
CSES IMD,AUT,AUT,2013,past_vote,999,999,TRUE,not_attached_and_no_vote,51,51,0.05105105105105105
CSES IMD,AUT,AUT,2013,past_vote,999,999,TRUE,not_attached_but_voted,329,329,0.32932932932932935
CSES IMD,AUT,AUT,2017,past_vote,1202,1202,TRUE,attached_and_no_vote,25,25,0.020798668885191347
CSES IMD,AUT,AUT,2017,past_vote,1202,1202,TRUE,attached_and_voted,864,864,0.718801996672213
CSES IMD,AUT,AUT,2017,past_vote,1202,1202,TRUE,dk_attachment_and_no_vote,1,1,8.319467554076539e-4
CSES IMD,AUT,AUT,2017,past_vote,1202,1202,TRUE,dk_attachment_and_voted,14,14,0.011647254575707155
CSES IMD,AUT,AUT,2017,past_vote,1202,1202,TRUE,not_attached_and_no_vote,49,49,0.04076539101497504
CSES IMD,AUT,AUT,2017,past_vote,1202,1202,TRUE,not_attached_but_voted,249,249,0.20715474209650583
CSES IMD,BEL,BEL,1999,past_vote,2179,2179,TRUE,attached_and_no_vote,43,43,0.01973382285452042
CSES IMD,BEL,BEL,1999,past_vote,2179,2179,TRUE,attached_and_voted,1816,1816,0.833409821018816
CSES IMD,BEL,BEL,1999,past_vote,2179,2179,TRUE,not_asked,220,220,0.10096374483708123
CSES IMD,BEL,BEL,1999,past_vote,2179,2179,TRUE,not_attached_and_no_vote,2,2,9.178522257916476e-4
CSES IMD,BEL,BEL,1999,past_vote,2179,2179,TRUE,not_attached_but_voted,98,98,0.04497475906379073
CSES IMD,BEL,BEL,2003,past_vote,2014,2014,TRUE,attached_and_no_vote,37,37,0.018371400198609732
CSES IMD,BEL,BEL,2003,past_vote,2014,2014,TRUE,attached_and_voted,706,706,0.35054617676266137
CSES IMD,BEL,BEL,2003,past_vote,2014,2014,TRUE,dk_attachment_and_no_vote,2,2,9.930486593843098e-4
CSES IMD,BEL,BEL,2003,past_vote,2014,2014,TRUE,dk_attachment_and_voted,62,62,0.030784508440913606
CSES IMD,BEL,BEL,2003,past_vote,2014,2014,TRUE,not_attached_and_no_vote,69,69,0.03426017874875869
CSES IMD,BEL,BEL,2003,past_vote,2014,2014,TRUE,not_attached_but_voted,1138,1138,0.5650446871896723
CSES IMD,BEL,BEL,2019,past_vote,1737,1737,TRUE,attached_and_no_vote,69,69,0.039723661485319514
CSES IMD,BEL,BEL,2019,past_vote,1737,1737,TRUE,attached_and_voted,1061,1061,0.6108232584916523
CSES IMD,BEL,BEL,2019,past_vote,1737,1737,TRUE,not_asked,85,85,0.048934945308002305
CSES IMD,BEL,BEL,2019,past_vote,1737,1737,TRUE,not_attached_and_no_vote,60,60,0.03454231433506045
CSES IMD,BEL,BEL,2019,past_vote,1737,1737,TRUE,not_attached_but_voted,462,462,0.2659758203799655
CSES IMD,BGR,BGR,2001,past_vote,1482,1482,TRUE,attached_and_no_vote,95,95,0.0641025641025641
CSES IMD,BGR,BGR,2001,past_vote,1482,1482,TRUE,attached_and_voted,924,924,0.6234817813765182
CSES IMD,BGR,BGR,2001,past_vote,1482,1482,TRUE,not_attached_and_no_vote,218,218,0.14709851551956815
CSES IMD,BGR,BGR,2001,past_vote,1482,1482,TRUE,not_attached_but_voted,245,245,0.16531713900134953
CSES IMD,BGR,BGR,2014,past_vote,993,993,TRUE,attached_and_no_vote,39,39,0.03927492447129909
CSES IMD,BGR,BGR,2014,past_vote,993,993,TRUE,attached_and_voted,508,508,0.5115810674723061
CSES IMD,BGR,BGR,2014,past_vote,993,993,TRUE,dk_attachment_and_voted,17,17,0.017119838872104734
CSES IMD,BGR,BGR,2014,past_vote,993,993,TRUE,not_attached_and_no_vote,256,256,0.2578046324269889
CSES IMD,BGR,BGR,2014,past_vote,993,993,TRUE,not_attached_but_voted,173,173,0.17421953675730112
CSES IMD,CZE,CZE,1996,past_vote,1229,1229,TRUE,attached_and_no_vote,61,61,0.04963384865744508
CSES IMD,CZE,CZE,1996,past_vote,1229,1229,TRUE,attached_and_voted,836,836,0.6802278275020341
CSES IMD,CZE,CZE,1996,past_vote,1229,1229,TRUE,dk_attachment_and_no_vote,15,15,0.012205044751830757
CSES IMD,CZE,CZE,1996,past_vote,1229,1229,TRUE,dk_attachment_and_voted,87,87,0.07078925956061839
CSES IMD,CZE,CZE,1996,past_vote,1229,1229,TRUE,not_asked,2,2,0.0016273393002441008
